"","expr","time"
"717","UPsampford_edited",26592401
"718","UPtille",774369701
"719","UPmidzuno",62876201
"720","UPsampford_edited",227029201
"721","UPsampford_edited",3753201
"722","UPbrewer",29928901
"723","UPtille",794863901
"724","UPbrewer",18408301
"725","UPsampford_edited",54526701
"726","UPbrewer",51240502
"727","UPbrewer",21199701
"728","UPbrewer",31620801
"729","UPbrewer",20183402
"730","UPmidzuno",72804501
"731","UPtille",807827101
"732","UPmidzuno",84489901
"733","UPsampford_edited",206750201
"734","UPmidzuno",72726601
"735","UPmidzuno",75890801
"736","UPbrewer",29297901
"737","UPmidzuno",230147001
"738","UPbrewer",25256601
"739","UPbrewer",32518901
"740","UPmidzuno",66129700
"741","UPmidzuno",60434401
"742","UPtille",786710400
"743","UPmidzuno",60675801
"744","UPsampford_edited",98261101
"745","UPbrewer",25311700
"746","UPbrewer",20878701
"747","UPtille",811146501
"748","UPsampford_edited",206596601
"749","UPbrewer",18325602
"750","UPbrewer",33523201
"751","UPsampford_edited",212686400
"752","UPtille",802087500
"753","UPmidzuno",64282001
"754","UPmidzuno",64861000
"755","UPbrewer",29839101
"756","UPbrewer",18392900
"757","UPmidzuno",85535001
"758","UPbrewer",28249101
"759","UPsampford_edited",215149501
"760","UPsampford_edited",20916001
"761","UPsampford_edited",202800900
"762","UPsampford_edited",173784700
"763","UPbrewer",20050901
"764","UPsampford_edited",207376202
"765","UPsampford_edited",221757600
"766","UPmidzuno",66896600
"767","UPmidzuno",74196701
"768","UPmidzuno",65670101
"769","UPtille",972085701
"770","UPmidzuno",64296901
"771","UPmidzuno",62531301
"772","UPsampford_edited",200054602
"773","UPtille",835204301
"774","UPtille",809156100
"775","UPbrewer",28026401
"776","UPbrewer",21102901
"777","UPsampford_edited",208428701
"778","UPmidzuno",71894601
"779","UPbrewer",18179600
"780","UPsampford_edited",141608001
"781","UPbrewer",19850101
"782","UPmidzuno",65068401
"783","UPmidzuno",64461301
"784","UPtille",822800401
"785","UPtille",828643001
"786","UPtille",960966400
"787","UPbrewer",27040902
"788","UPbrewer",18865802
"789","UPbrewer",32893201
"790","UPtille",791381101
"791","UPbrewer",18411102
"792","UPtille",773099201
"793","UPmidzuno",63303601
"794","UPsampford_edited",223361502
"795","UPtille",845420501
"796","UPtille",817701401
"797","UPtille",976281501
"798","UPmidzuno",65761202
"799","UPsampford_edited",207653701
"800","UPtille",817336800
"801","UPbrewer",29684001
"802","UPtille",829359101
"803","UPtille",829604101
"804","UPmidzuno",69078000
"805","UPmidzuno",63822900
"806","UPbrewer",26630101
"807","UPmidzuno",64253800
"808","UPbrewer",18673900
"809","UPbrewer",32745801
"810","UPtille",811263401
"811","UPbrewer",32131400
"812","UPmidzuno",63193601
"813","UPmidzuno",63296301
"814","UPtille",1002731701
"815","UPsampford_edited",147975901
"816","UPtille",788775701
"817","UPsampford_edited",207164900
"818","UPsampford_edited",206567601
"819","UPmidzuno",63299902
"820","UPmidzuno",64055201
"821","UPbrewer",17990900
"822","UPmidzuno",87916800
"823","UPbrewer",27449801
"824","UPbrewer",20628701
"825","UPtille",874676501
"826","UPtille",824886302
"827","UPbrewer",19154602
"828","UPbrewer",28647700
"829","UPtille",1022708401
"830","UPtille",797269801
"831","UPmidzuno",63727002
"832","UPtille",863722701
"833","UPbrewer",31656101
"834","UPtille",870224701
"835","UPsampford_edited",224105201
"836","UPbrewer",20188201
"837","UPsampford_edited",256976101
"838","UPtille",879149602
"839","UPsampford_edited",220362401
"840","UPtille",1048103200
"841","UPmidzuno",68161601
"842","UPsampford_edited",219228600
"843","UPsampford_edited",54061802
"844","UPmidzuno",62956001
"845","UPmidzuno",86646702
"846","UPtille",803084001
"847","UPtille",787180101
"848","UPmidzuno",70681901
"849","UPtille",816575801
"850","UPbrewer",25732501
"851","UPmidzuno",63451701
"852","UPbrewer",18100301
"853","UPbrewer",29226602
"854","UPbrewer",19999601
"855","UPmidzuno",64686401
"856","UPtille",805646902
"857","UPmidzuno",63735202
"858","UPsampford_edited",201418802
"859","UPtille",985451301
"860","UPsampford_edited",225434401
"861","UPbrewer",27860601
"862","UPtille",769056300
"863","UPmidzuno",60351400
"864","UPmidzuno",63181201
"865","UPtille",797054201
"866","UPtille",797275102
"867","UPbrewer",27129301
"868","UPtille",794564401
"869","UPmidzuno",61546101
"870","UPtille",965564602
"871","UPbrewer",26801301
"872","UPmidzuno",61568801
"873","UPbrewer",19747601
"874","UPmidzuno",65088400
"875","UPmidzuno",61504202
"876","UPtille",794592202
"877","UPmidzuno",75633001
"878","UPmidzuno",60889401
"879","UPbrewer",26554500
"880","UPtille",789999402
"881","UPbrewer",27736001
"882","UPbrewer",18918601
"883","UPbrewer",31912802
"884","UPsampford_edited",213736601
"885","UPsampford_edited",210148801
"886","UPsampford_edited",207681301
"887","UPbrewer",17630002
"888","UPsampford_edited",232427601
"889","UPtille",812313200
"890","UPsampford_edited",33210101
"891","UPbrewer",23712101
"892","UPsampford_edited",232722300
"893","UPbrewer",28983301
"894","UPmidzuno",67822401
"895","UPbrewer",22191101
"896","UPmidzuno",67734301
"897","UPtille",969906202
"898","UPtille",848545601
"899","UPmidzuno",64409301
"900","UPtille",801905401
"901","UPsampford_edited",242966902
"902","UPtille",845482100
"903","UPtille",865994700
"904","UPmidzuno",73115101
"905","UPtille",1022278901
"906","UPbrewer",18380102
"907","UPbrewer",35963001
"908","UPtille",837720200
"909","UPtille",856116402
"910","UPbrewer",19263201
"911","UPtille",870397302
"912","UPsampford_edited",215459001
"913","UPmidzuno",75096501
"914","UPsampford_edited",212319701
"915","UPbrewer",18177602
"916","UPmidzuno",66743702
"917","UPsampford_edited",217071502
"918","UPsampford_edited",207714401
"919","UPsampford_edited",216926201
"920","UPsampford_edited",220307001
"921","UPbrewer",32063201
"922","UPsampford_edited",224881801
"923","UPsampford_edited",215036201
"924","UPtille",1015506600
"925","UPmidzuno",63995101
"926","UPbrewer",26639500
"927","UPsampford_edited",207356902
"928","UPmidzuno",71366801
"929","UPbrewer",21517801
"930","UPbrewer",29818200
"931","UPmidzuno",72430101
"932","UPsampford_edited",221614402
"933","UPmidzuno",65195700
"934","UPbrewer",19648300
"935","UPsampford_edited",212283701
"936","UPtille",879427301
"937","UPmidzuno",69011301
"938","UPsampford_edited",222898501
"939","UPtille",872529801
"940","UPmidzuno",72165501
"941","UPtille",849541001
"942","UPmidzuno",68860500
"943","UPbrewer",30982601
"944","UPbrewer",20408001
"945","UPmidzuno",89964301
"946","UPbrewer",19766101
"947","UPbrewer",33342101
"948","UPmidzuno",71763301
"949","UPmidzuno",71830300
"950","UPtille",1072736101
"951","UPbrewer",29615301
"952","UPbrewer",21117701
"953","UPtille",921938001
"954","UPbrewer",30808001
"955","UPsampford_edited",245995101
"956","UPtille",945383201
"957","UPtille",1007286501
"958","UPmidzuno",75350601
"959","UPsampford_edited",196114602
"960","UPsampford_edited",238103400
"961","UPtille",988616201
"962","UPbrewer",35903501
"963","UPbrewer",25731001
"964","UPtille",1137493301
"965","UPsampford_edited",201193700
"966","UPmidzuno",66528901
"967","UPbrewer",25900401
"968","UPsampford_edited",216090901
"969","UPtille",988175201
"970","UPbrewer",31358200
"971","UPsampford_edited",253527401
"972","UPbrewer",24775401
"973","UPmidzuno",87368300
"974","UPsampford_edited",62133401
"975","UPbrewer",22459601
"976","UPbrewer",22486200
"977","UPsampford_edited",182223501
"978","UPbrewer",29508301
"979","UPbrewer",22226801
"980","UPmidzuno",73252100
